,sq_mt_built,n_rooms,n_bathrooms,buy_price,is_renewal_needed,is_new_development,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_parking,latitud,longitude
0,64,2,1,85000,0,0,1,0,0,0,0,0,40.3399674,-3.6874365
1,70,3,1,129900,1,0,1,0,0,1,0,0,40.3593397,-3.6983745
2,94,2,2,144247,0,0,1,0,0,0,0,0,40.3446298,-3.7151909
3,108,2,2,260000,0,0,1,0,1,0,0,1,40.3577222,-3.6850285
4,126,4,2,195000,0,0,1,0,0,1,1,1,40.3433886,-3.7124165
5,120,5,2,190000,0,0,1,0,1,1,1,1,40.348149,-3.7062387
6,85,2,1,131400,1,0,1,0,0,1,0,0,40.3528895,-3.689424
7,69,2,2,118000,1,0,1,0,0,1,0,0,40.349162,-3.7148492
8,123,3,2,195000,0,0,1,0,0,0,0,0,40.3600565,-3.685326
9,109,3,2,205000,0,0,1,0,0,1,0,0,40.35101745,-3.701777508622853
10,64,3,1,72000,0,0,1,0,0,1,0,0,40.3426682,-3.6883619
11,115,3,1,160000,0,0,1,0,0,1,0,0,40.6228461,-3.9081055
12,51,2,1,93000,0,0,0,0,0,0,0,0,40.3281942,-3.76527
13,134,3,2,130000,0,0,0,0,0,0,0,0,40.3507301,-3.7155514
14,62,2,1,104000,0,0,1,0,0,1,0,0,40.3454434,-3.7083602
15,75,3,1,138000,0,0,1,0,0,1,0,1,40.3450219,-3.7042545
17,70,2,1,145900,0,0,1,0,0,1,1,0,40.3431405,-3.7174703
18,75,1,1,92500,0,0,1,0,0,0,1,0,40.3334699,-3.7127975
19,123,3,2,298000,0,0,1,0,1,0,0,1,40.3577222,-3.6850285
20,61,3,1,99900,0,0,1,0,0,1,0,0,40.3281942,-3.76527
21,71,3,1,131400,1,0,1,0,0,1,0,0,40.3465238,-3.7041664
22,60,2,1,154000,0,0,1,0,0,1,0,0,40.3431405,-3.7174703
23,78,4,1,146700,0,0,1,0,0,0,0,0,40.3545402,-3.6943774
24,125,3,3,275000,0,0,1,0,1,1,0,0,40.34903,-3.6760582
25,75,0,1,83800,0,0,1,0,0,1,1,0,40.3334699,-3.7127975
26,97,2,2,266122,0,1,1,0,1,1,0,0,40.338156,-3.679459
27,93,2,2,228273,0,1,1,0,1,1,0,0,40.338156,-3.679459
28,103,4,2,171900,0,0,1,0,0,0,0,0,40.3593397,-3.6983745
29,83,2,2,228273,0,0,1,0,1,1,0,1,40.3389062,-3.6772808
30,45,2,1,85000,1,0,1,0,0,0,1,0,40.3516003,-3.6926224
31,120,3,2,298000,0,0,0,0,1,0,0,1,40.3577222,-3.6850285
32,125,3,2,272500,0,0,1,0,1,1,0,0,40.34903,-3.6760582
33,126,4,2,275000,0,0,1,0,1,1,0,1,40.3417163,-3.675929
34,158,3,2,289000,0,0,1,0,1,1,0,1,40.3560432,-3.6820183
35,108,3,2,179000,0,0,1,0,0,1,0,0,40.3499113,-3.7052168
36,51,2,1,89500,1,0,1,0,0,1,0,0,40.3014688,-3.7398829
37,112,3,2,289000,0,0,1,0,1,0,0,1,40.3507213,-3.6791018
38,111,2,2,230749,0,1,1,0,1,1,0,1,40.3384998,-3.6764999
39,115,3,2,233789,0,1,1,0,1,0,0,1,40.3384998,-3.6764999
40,115,3,2,230789,0,1,1,0,1,0,0,1,40.3384998,-3.6764999
41,117,3,2,244171,0,1,1,0,1,1,0,1,40.3384998,-3.6764999
42,117,3,2,243468,0,1,1,0,1,1,0,1,40.3384998,-3.6764999
43,117,3,2,244798,0,1,1,0,1,1,0,1,40.3384998,-3.6764999
44,118,3,2,219235,0,1,1,0,1,0,0,1,40.3384998,-3.6764999
45,115,3,2,242789,0,1,1,0,1,0,0,1,40.3384998,-3.6764999
46,106,3,2,251569,0,1,1,0,1,1,0,0,40.338156,-3.679459
47,103,3,2,235402,0,1,1,0,1,1,0,0,40.338156,-3.679459
48,103,3,2,235172,0,1,1,0,1,1,0,0,40.338156,-3.679459
49,103,3,2,236227,0,1,1,0,1,1,0,0,40.338156,-3.679459
50,114,3,2,254710,0,1,1,0,1,1,0,0,40.338156,-3.679459
51,140,3,3,272500,0,0,1,0,1,1,0,0,40.34903,-3.6760582
52,58,3,1,85000,0,0,1,0,0,0,0,0,40.3474954,-3.6903199
53,65,3,1,94000,0,0,1,0,0,1,0,0,40.3412454,-3.6924983
54,110,4,2,175000,0,0,1,0,0,1,1,0,40.3528895,-3.689424
55,90,1,1,183159,0,1,1,0,1,1,0,1,40.3384998,-3.6764999
56,125,3,2,210000,0,0,1,0,0,0,0,1,40.3598385,-3.6913126
57,58,2,1,85000,0,0,1,0,0,0,0,0,40.3431904,-3.7167725
58,92,3,1,159900,0,0,1,0,0,1,0,0,40.3564179,-3.6958271
59,108,3,1,140000,0,0,1,0,0,1,0,0,40.3454189,-3.7143311
60,65,2,1,106500,0,0,1,0,0,1,0,0,40.3538685,-3.6834603
62,80,2,1,148000,0,0,1,0,0,1,0,1,40.3336091,-3.6992926
63,108,2,1,205000,0,0,1,0,1,1,0,1,40.9020755,-3.8760931
66,54,2,1,89900,0,0,1,0,0,1,0,0,40.3428357,-3.7077693
67,99,2,2,145000,0,0,1,0,0,0,0,0,40.3449425,-3.705681
68,123,4,2,275000,0,0,1,0,0,1,0,0,40.3588323,-3.6911016
69,64,3,1,104000,0,0,1,0,0,0,0,0,40.351882,-3.6949633
70,103,3,2,235718,0,1,1,0,1,1,0,0,40.338156,-3.679459
71,103,3,2,245000,0,1,1,0,1,0,0,1,40.3407876,-3.2327255
72,143,3,2,260000,0,1,1,0,1,0,0,1,40.3407876,-3.2327255
73,99,3,2,235000,0,1,1,0,1,0,0,1,40.3407876,-3.2327255
74,100,3,2,235000,0,1,1,0,1,0,0,1,40.3407876,-3.2327255
75,176,2,2,265000,0,1,1,0,1,0,0,1,40.3407876,-3.2327255
76,87,2,2,190000,0,1,1,0,1,0,0,1,40.3407876,-3.2327255
77,106,3,2,256115,0,1,1,0,1,1,0,0,40.338156,-3.679459
78,113,3,2,261989,0,1,1,0,1,1,0,0,40.338156,-3.679459
79,115,3,2,273353,0,1,1,0,1,1,0,0,40.338156,-3.679459
80,129,3,2,297621,0,1,1,0,1,1,0,0,40.338156,-3.679459
81,115,3,2,279778,0,1,1,0,1,1,0,0,40.338156,-3.679459
82,54,2,1,136400,0,0,0,0,0,1,0,0,40.3499113,-3.7052168
83,80,3,1,145000,0,0,1,0,0,1,0,0,40.3259672,-3.7716739
84,73,2,1,127500,0,0,1,0,0,0,0,0,40.3431904,-3.7167725
85,122,3,2,179000,0,0,1,0,0,0,0,1,40.3336091,-3.6992926
86,98,3,2,266122,0,0,1,0,1,1,0,1,40.3389062,-3.6772808
87,97,3,2,261989,0,0,1,0,1,1,0,1,40.3389062,-3.6772808
88,111,3,2,297621,0,0,1,0,1,1,0,1,40.3389062,-3.6772808
89,99,3,2,251569,0,0,1,0,1,1,0,1,40.3389062,-3.6772808
90,85,3,1,138000,0,0,1,0,0,1,0,0,40.3432684,-3.7172962
91,90,3,2,225000,0,0,1,0,1,0,0,1,40.2989698,-3.7460052
92,133,2,1,264000,0,0,1,0,1,1,1,1,40.3570425,-3.685489
93,60,3,1,98260,0,0,1,0,0,0,0,0,40.3484649,-3.6886982
94,133,3,3,275000,0,0,1,0,1,1,0,0,40.34903,-3.6760582
95,66,3,1,104900,0,0,1,0,0,1,0,0,40.3412454,-3.6924983
96,95,2,1,155000,0,0,1,0,0,1,1,0,40.3281942,-3.76527
97,74,3,1,100000,0,0,1,0,0,0,0,0,40.3410484,-3.6841196
98,97,2,1,210000,0,0,1,0,1,1,0,1,40.3560432,-3.6820183
99,90,2,2,240000,0,0,1,0,1,0,0,1,40.3423112,-3.7053575
100,49,2,1,84000,0,0,1,0,0,0,0,0,40.34206795,-3.709025837154354
101,151,3,2,314000,0,0,1,0,1,0,0,1,40.3570991,-3.6841334
102,69,3,1,107000,0,0,1,0,0,1,0,0,40.3441471,-3.6856918
103,170,3,2,325000,0,0,1,0,1,1,0,1,40.3507213,-3.6791018
104,98,3,2,284900,0,0,1,0,1,0,0,1,40.3570425,-3.685489
105,136,3,2,230000,0,0,1,0,0,1,0,1,40.3336091,-3.6992926
106,95,3,1,185000,0,0,1,0,0,1,0,0,40.3281942,-3.76527
107,110,3,2,275000,0,0,1,0,1,0,0,1,40.3507213,-3.6791018
108,83,3,1,91500,0,0,1,0,0,1,1,0,40.3431904,-3.7167725
110,65,2,1,86860,1,0,1,0,0,0,0,0,40.3365831,-3.2371996
111,58,3,1,105000,0,0,1,0,0,0,1,0,40.35390395,-3.68323398442623
112,82,3,1,120000,0,0,1,0,0,0,1,0,40.3458332,-3.7104374
113,95,2,2,184000,0,0,1,0,0,0,0,0,40.3401068,-3.6887159
114,178,4,2,299990,0,0,1,0,1,0,1,1,40.3584213,-3.6829116
115,59,2,1,117000,0,0,1,0,0,1,0,0,40.3535755,-3.6846954
116,100,4,1,165000,0,0,1,0,0,0,0,0,40.3545782,-3.695308
117,81,3,2,155000,0,0,1,0,0,0,0,1,40.3336091,-3.6992926
118,91,2,2,228208,0,0,1,0,1,1,0,1,40.3389062,-3.6772808
119,95,3,1,100000,1,0,1,0,0,0,1,0,40.3525553,-3.6811527
120,60,2,1,105000,0,0,0,0,0,1,0,0,40.3491341,-3.7134322
121,80,3,1,165000,0,0,1,0,0,1,0,0,40.3499113,-3.7052168
123,50,1,1,159000,0,0,1,0,1,0,0,1,40.3423112,-3.7053575
124,96,2,2,210000,0,0,1,0,1,1,0,1,40.3629762,-3.6998965
125,71,2,2,198000,0,0,1,0,1,0,0,0,40.3548639,-3.684203
127,65,2,1,110000,0,0,1,0,0,0,0,0,40.3412454,-3.6924983
128,75,3,1,103000,0,0,1,0,0,1,0,0,40.3431405,-3.7174703
129,115,3,1,154900,0,0,1,0,0,1,0,0,40.3431405,-3.7174703
130,63,2,1,82260,0,0,1,0,0,0,0,0,40.3444061,-3.6870101
132,90,3,2,155000,0,0,1,0,0,1,0,1,40.3336091,-3.6992926
133,95,4,1,138000,0,0,1,0,0,1,0,0,40.3495133,-3.6893429
134,90,3,2,222000,0,0,1,0,1,0,0,1,40.3429222,-3.675537
135,82,2,2,270000,0,0,1,0,1,0,0,1,40.361781,-3.7004632
136,81,3,1,116100,0,0,1,0,0,0,0,0,40.351853,-3.6824616
137,70,3,1,99000,0,0,1,0,0,0,0,0,40.3444808,-3.6870123
138,95,3,1,130000,0,0,1,0,0,1,1,0,40.3479925,-3.6862599
141,98,4,2,230000,0,0,1,0,0,1,0,0,40.3565045,-3.6928754
142,55,3,1,91000,0,0,1,0,0,0,0,0,40.3526545,-3.6969437
143,115,4,1,184900,0,0,1,0,0,1,1,0,40.4005261,-3.4056522
144,78,3,1,127000,0,0,0,0,0,1,0,0,40.3444232,-3.7059234
145,68,3,1,83900,0,0,1,0,0,0,0,0,40.3412537,-3.6864471
146,120,3,1,180000,0,0,1,0,1,1,0,1,40.3441872,-3.7074188
147,64,3,1,76000,1,0,1,0,0,0,0,0,40.3444262,-3.691317
148,92,4,1,163000,0,0,1,0,0,0,0,0,40.35600685,-3.6938880510558985
149,154,3,2,280000,0,0,1,0,1,1,0,1,40.3439468,-3.6759839
150,105,3,2,180000,0,0,1,0,0,1,0,0,40.4562286,-3.459256
151,53,3,1,114300,0,0,0,0,0,1,0,0,40.3474954,-3.6903199
152,53,3,1,114300,0,0,0,0,0,0,0,0,40.3474954,-3.6903199
153,95,3,1,112000,1,0,0,0,0,1,0,0,40.3446028,-3.7150841
154,30,1,1,59000,0,0,1,0,0,0,0,0,40.3413756,-3.6903569
155,53,1,1,146000,0,0,1,0,1,1,0,1,40.3393855,-3.678538923762037
156,125,3,3,275000,0,0,1,0,1,1,0,0,40.34903,-3.6760582
157,66,2,1,96000,0,0,1,0,0,0,0,0,40.3412537,-3.6864471
158,63,3,1,82000,0,0,1,0,0,0,0,0,40.3444061,-3.6870101
159,95,3,1,199000,0,0,1,0,1,0,0,1,40.54419285,-3.6499298391529935
160,65,2,1,232000,0,0,1,0,0,0,0,1,40.343668,-3.7043145
161,69,2,1,240000,0,0,1,0,1,0,0,0,40.3335696,-3.7128593
162,60,3,1,120000,0,0,1,0,0,0,0,0,40.3431022,-3.7114862
163,65,2,1,109000,0,0,1,0,0,0,0,0,40.3593397,-3.6983745
164,83,3,2,111000,1,0,1,0,0,0,0,0,40.3442088,-3.6917032
165,89,2,2,228000,0,0,1,0,0,0,0,0,40.3437497,-3.7048893
166,61,3,1,89000,0,0,1,0,0,0,0,0,40.3412537,-3.6864471
167,68,3,1,94000,0,0,1,0,0,0,0,0,40.3444262,-3.691317
168,92,3,2,175000,0,0,1,0,0,1,0,0,40.4006027,-3.7783063
170,63,3,1,84000,0,0,1,0,0,0,0,0,40.3454189,-3.7143311
171,125,3,2,210000,0,0,1,0,0,0,0,1,40.3597743,-3.6912572
172,125,3,3,275000,0,0,0,0,1,1,0,0,40.34903,-3.6760582
173,75,3,1,131400,0,0,0,0,0,0,0,0,40.3528895,-3.689424
174,71,3,1,131400,0,0,0,0,0,0,0,0,40.3465238,-3.7041664
175,95,2,2,154500,0,0,0,0,0,1,0,0,40.3449425,-3.705681
176,61,3,1,100000,0,0,1,0,0,0,0,0,40.35390395,-3.68323398442623
177,42,4,1,95900,0,0,0,0,0,0,0,0,40.3413756,-3.6903569
178,80,2,1,115000,0,0,1,0,0,1,0,0,40.3497332,-3.6941772
179,55,2,1,96000,0,0,1,0,0,1,0,0,40.4005261,-3.4056522
180,60,0,1,85000,0,0,1,0,0,0,0,0,40.451136,-3.4632136
181,60,2,1,95000,0,0,1,0,0,0,0,0,40.3441471,-3.6856918
182,82,3,1,83900,0,0,1,0,0,0,0,0,40.3412537,-3.6864471
183,69,2,1,118600,0,0,0,0,0,0,0,0,40.3445362,-3.7042273
184,70,2,1,202000,0,0,1,0,0,1,0,0,40.3516003,-3.6926224
185,47,1,1,144000,0,0,0,0,0,1,0,0,40.3516003,-3.6926224
186,50,2,1,105000,0,0,1,0,0,0,0,0,40.350523,-3.6877894
188,60,2,1,125000,0,0,1,0,0,0,1,0,40.346666,-3.711486
189,101,2,2,255000,0,0,1,0,1,0,0,1,40.3384998,-3.6764999
190,55,2,1,96600,1,0,1,0,0,0,0,0,40.348114,-3.7078802
192,68,3,1,97000,0,0,1,0,0,0,0,0,40.3515611,-3.6802098
194,75,2,2,195000,0,0,1,0,0,0,0,0,40.3474954,-3.6903199
196,70,3,1,104840,0,0,1,0,0,1,0,0,40.3431904,-3.7167725
197,42,4,1,95900,0,0,0,0,0,1,0,0,40.3413756,-3.6903569
198,54,3,1,71000,1,0,0,0,0,0,0,0,40.3495092,-3.7009946
200,100,4,1,165000,0,0,1,0,0,1,0,0,40.35354395,-3.695485959174469
201,125,4,2,173000,0,0,1,0,0,0,0,0,40.3504996,-3.6985953
202,54,3,1,71000,1,0,1,0,0,0,0,0,40.3495092,-3.7009946
203,130,4,2,168000,0,0,1,0,0,0,0,0,40.3442088,-3.6917032
204,68,2,1,99900,0,0,1,0,0,0,0,0,40.3526545,-3.6969437
205,80,2,1,95000,0,0,1,0,0,0,0,0,40.3499113,-3.7052168
207,70,3,1,142500,0,0,0,0,0,0,0,0,40.3413756,-3.6903569
208,90,2,1,140000,0,0,1,0,0,0,0,0,40.3488147,-3.7096461
209,76,3,1,110000,0,0,1,0,0,1,0,0,40.3410484,-3.6841196
210,90,3,2,180000,0,0,1,0,0,0,1,1,40.3336091,-3.6992926
211,90,3,2,300000,0,0,1,0,1,0,0,1,40.3417163,-3.675929
212,60,3,1,140000,0,0,1,0,0,0,0,0,40.3399674,-3.6874365
213,60,3,1,145000,0,0,1,0,0,0,0,0,40.3399674,-3.6874365
214,75,3,1,180000,0,0,1,0,0,1,0,1,40.3516003,-3.6926224
216,95,2,2,250000,0,0,1,0,1,0,0,1,40.7688247,-3.5813929
217,100,3,1,210000,0,0,1,0,0,0,0,0,40.3450219,-3.7042545
218,110,3,2,189000,0,0,1,0,0,0,0,1,40.3346268,-3.7006954
219,75,3,1,155000,0,0,1,0,0,0,0,0,40.3410484,-3.6841196
220,116,4,2,170000,1,0,1,0,0,1,1,0,40.351006,-3.697818865293204
221,48,2,1,120000,0,0,1,0,0,0,0,0,40.3548912,-3.6811226
222,80,3,1,125000,1,0,1,0,0,1,0,0,40.3488043,-3.6853658
223,81,3,1,139500,0,0,1,0,0,0,1,0,40.3531696,-3.6831755
224,95,4,2,198000,1,0,1,0,0,1,0,0,40.3588583,-3.6943612
225,60,4,1,75000,1,0,1,0,0,0,0,0,40.3413756,-3.6903569
226,50,2,1,123000,0,0,1,0,0,0,1,0,40.3872841,-3.408989
227,242,4,3,380000,0,0,0,0,0,1,0,1,40.3409182,-3.7112332
228,166,3,1,300000,1,0,0,0,0,0,0,0,40.3495133,-3.6893429
229,50,2,1,140000,0,0,1,0,0,0,0,0,40.34678955,-3.7088067423547937
230,94,4,1,190000,0,0,1,0,0,0,0,0,40.359715050000005,-3.696647901950831
231,105,3,2,190000,0,0,1,0,0,0,0,1,40.3336091,-3.6992926
232,100,3,1,142000,0,0,1,0,0,1,0,0,40.4552006,-3.6987751
233,72,3,1,140000,0,0,1,0,0,1,0,0,40.3485184,-3.7134931
234,67,2,1,115000,0,0,1,0,0,0,0,0,40.4256897,-3.7038065
235,71,2,1,202000,0,0,0,0,0,0,0,0,40.3516003,-3.6926224
236,48,1,1,144000,0,0,0,0,0,0,0,0,40.3516003,-3.6926224
237,60,3,1,105000,0,0,1,0,0,0,0,0,40.3444262,-3.691317
238,61,3,1,108000,0,0,1,0,0,0,0,0,40.3499113,-3.7052168
241,118,3,2,179000,0,0,1,0,0,0,0,1,40.3357496,-3.699255
242,54,3,1,91958,0,0,0,0,0,0,0,0,40.3516003,-3.6926224
243,81,3,1,139500,0,0,1,0,0,1,1,0,40.3531696,-3.6831755
244,90,3,2,139000,0,0,1,0,0,0,0,0,40.3399674,-3.6874365
245,95,2,1,154500,0,0,0,0,0,0,0,0,40.3449425,-3.705681
246,76,2,1,109492,0,0,0,0,0,0,0,0,40.3410484,-3.6841196
247,70,3,1,95000,0,0,1,0,0,0,0,0,40.3444061,-3.6870101
248,71,3,1,100000,0,0,1,0,0,0,0,0,40.3413756,-3.6903569
249,70,3,1,97000,0,0,1,0,0,0,0,0,40.3399674,-3.6874365
250,100,3,2,179000,0,0,1,0,0,1,0,0,40.3588758,-3.6851757
251,80,2,2,250000,0,0,1,0,1,0,0,1,40.3548912,-3.6811226
252,54,2,1,148000,0,0,1,0,0,0,0,0,40.4256897,-3.7038065
253,68,3,1,88000,1,0,1,0,0,0,0,0,40.3412454,-3.6924983
255,62,2,2,148000,0,0,1,0,0,0,0,0,40.3483852,-3.7134367
256,83,3,1,155000,0,0,1,0,0,1,0,0,40.3431405,-3.7174703
257,76,3,1,108000,0,0,0,0,0,0,0,0,40.3538503,-3.6983625
258,65,3,1,110000,1,0,1,0,0,1,1,0,40.3487732,-3.7088985
259,70,2,2,196000,0,0,1,0,0,0,0,1,40.3588125,-3.6851713
260,100,3,2,210000,0,0,1,0,0,1,0,0,40.3591534,-3.6847879
261,90,4,2,230000,0,0,1,0,0,0,0,1,40.3599022,-3.6862745
262,65,3,1,107583,0,0,1,0,0,1,0,0,40.3405523,-3.7242948
263,68,2,1,120000,0,0,1,0,0,0,0,0,40.345193,-3.6875454
264,90,3,1,140000,1,0,1,0,0,1,1,0,40.3465436,-3.7058707
265,55,2,1,135000,0,0,1,0,0,0,0,0,40.3568962,-3.695436849999999
266,70,2,1,126000,0,0,1,0,0,1,0,0,40.3335696,-3.7128593
267,123,4,2,220000,0,0,1,0,0,1,0,1,40.3281942,-3.76527
268,64,2,1,150000,0,0,1,0,0,0,0,0,40.35698875,-3.6962087814514426
269,80,3,2,160000,0,0,1,0,0,0,0,1,40.3357496,-3.699255
270,113,3,2,359900,0,0,1,0,1,0,0,1,40.3570991,-3.6841334
271,89,3,2,174000,0,0,1,0,0,1,0,1,40.3355808,-3.6992494
272,101,2,2,245000,0,0,1,0,1,1,0,1,40.3449425,-3.705681
273,75,3,1,113000,0,0,1,0,0,1,0,0,40.3526545,-3.6969437
274,54,3,1,91957,0,0,1,0,0,0,0,0,40.3516003,-3.6926224
275,65,3,1,109900,0,0,1,0,0,0,0,0,40.342349,-3.7104631
277,69,2,1,132000,0,0,1,0,0,0,0,0,40.3428357,-3.7077693
278,100,3,2,230000,0,0,1,0,0,0,0,1,40.3465436,-3.7058707
279,62,2,1,93000,0,0,0,0,0,0,0,0,40.3401068,-3.6887159
280,81,3,1,116100,0,0,0,0,0,1,0,0,40.351853,-3.6824616
281,65,3,1,120000,0,0,1,0,0,1,0,0,40.3401068,-3.6887159
282,60,2,1,138000,0,0,1,0,0,1,1,1,40.3420001,-3.7178221
283,76,2,1,109491,0,0,1,0,0,0,0,0,40.3410484,-3.6841196
284,80,2,2,250000,0,0,1,0,0,1,1,1,40.3560432,-3.6820183
285,88,2,2,304000,0,0,1,0,1,0,0,0,40.3449425,-3.705681
286,90,3,1,208000,0,0,1,0,0,1,0,0,40.35236685,-3.700761727021405
288,68,2,1,207000,0,0,1,0,1,0,0,1,40.3507213,-3.6791018
289,105,3,2,182260,0,0,1,0,0,1,1,1,40.349198,-3.6857459
290,85,3,1,159000,0,0,1,0,0,1,0,1,40.6229864,-3.90814636252797
291,88,3,1,116000,0,0,1,0,0,1,0,0,40.3446901,-3.7050538
292,160,2,1,260000,0,0,1,0,1,1,0,1,40.3491367,-3.7049379
293,60,2,1,99000,0,0,0,0,0,0,0,0,40.3254539,-3.7612245
294,90,3,2,172000,0,0,1,0,0,0,0,1,40.3357496,-3.699255
295,88,3,1,132260,0,0,0,0,0,0,0,0,40.3431405,-3.7174703
296,53,1,1,144000,0,0,1,0,0,1,0,0,40.3516003,-3.6926224
297,89,3,2,235000,0,0,1,0,1,0,0,1,40.2989698,-3.7460052
298,65,3,1,97000,0,0,1,0,0,0,0,0,40.3430924,-3.7125324
299,110,2,2,225000,0,0,1,0,1,0,0,1,40.3568825,-3.6814776
300,80,3,1,135000,0,0,1,0,0,1,0,1,40.3491341,-3.7134322
301,95,4,1,175000,0,0,1,0,0,1,0,1,40.3538503,-3.6983625
302,70,2,1,146750,0,0,1,0,0,0,0,0,40.3422361,-3.7078574
303,62,3,1,108000,0,0,1,0,0,0,0,0,40.3401068,-3.6887159
304,92,2,2,154500,0,0,1,0,0,1,0,0,40.3007823,-3.4362094
305,78,3,1,116050,0,0,1,0,0,1,1,0,40.3451297,-3.7132014
306,77,3,1,122000,0,0,0,0,0,1,0,0,40.34678955,-3.7088067423547937
307,64,2,1,149999,0,0,1,0,0,0,0,1,40.3471685,-3.7080215
308,54,2,1,96600,0,0,0,0,0,1,0,0,40.348114,-3.7078802
309,62,2,1,111113,0,0,0,0,0,0,0,0,40.4918314,-3.7058181
310,103,3,1,159000,0,0,0,0,0,1,0,0,40.3496104,-3.7064776
311,95,2,2,154500,0,0,0,0,0,0,0,0,40.3449425,-3.705681
312,72,2,1,139000,0,0,1,0,0,0,0,0,40.3593397,-3.6983745
313,60,3,1,66000,1,0,1,0,0,1,0,0,40.3401068,-3.6887159
314,60,2,1,70000,0,0,1,0,0,0,0,0,40.3441471,-3.6856918
316,90,3,1,190000,0,0,1,0,0,1,1,1,40.3281942,-3.76527
317,61,2,1,93000,0,0,0,0,0,1,0,0,40.3431904,-3.7167725
318,73,3,1,79900,0,0,1,0,0,0,0,0,40.3401068,-3.6887159
319,76,3,1,140000,0,0,0,0,0,0,0,0,40.351853,-3.6824616
321,187,3,2,295000,0,0,1,0,1,1,1,1,40.343895,-3.6765795
322,62,2,1,107000,0,0,1,0,0,1,1,0,40.3491288,-3.7105217
324,65,3,1,108000,0,0,1,0,0,0,0,0,40.3441471,-3.6856918
325,70,3,1,119000,0,0,1,0,0,0,0,0,40.1565904,-3.5705132
326,67,3,1,99000,1,0,1,0,0,1,0,0,40.3458793,-3.710455
327,110,2,2,225000,0,0,1,0,1,0,0,1,40.3550555,-3.6836312
328,125,3,3,275000,0,0,1,0,1,1,0,0,40.34903,-3.6760582
329,65,3,1,85000,1,0,1,0,0,1,0,0,40.2967241,-3.7217806
330,57,3,1,109000,0,0,1,0,0,0,0,0,40.3412537,-3.6864471
331,80,3,2,130000,0,0,1,0,0,1,1,0,40.3401068,-3.6887159
332,110,4,1,199000,0,0,1,0,1,1,0,1,40.3444232,-3.7059234
333,125,3,3,275000,0,0,1,0,1,1,0,0,40.34903,-3.6760582
335,120,3,2,250000,0,0,1,0,1,1,0,1,40.343895,-3.6765795
336,78,2,1,198500,0,0,1,0,1,0,1,1,40.3560432,-3.6820183
337,147,4,2,350000,0,0,1,0,1,1,0,1,40.7262574,-3.9379516
338,100,3,2,137260,0,0,0,0,0,0,0,0,40.3437378,-3.7099427
339,200,5,3,330000,0,0,1,0,1,1,0,1,40.3439468,-3.6759839
340,65,3,1,99000,0,0,1,0,0,1,1,0,40.3259672,-3.7716739
341,62,2,1,93000,0,0,1,0,0,0,0,0,40.3401068,-3.6887159
342,69,3,1,97000,0,0,1,0,0,1,0,0,40.3515611,-3.6802098
343,65,3,1,95000,0,0,1,0,0,1,0,0,40.3399674,-3.6874365
344,80,3,1,128000,1,0,1,0,0,1,0,0,40.3517541,-3.6841646
345,116,3,2,280000,0,0,1,0,1,1,0,1,40.343895,-3.6765795
346,160,4,2,450000,0,0,1,0,0,1,0,0,40.3560432,-3.6820183
347,83,3,1,147000,1,0,1,0,0,1,0,1,40.3625408,-3.6995671
348,75,2,1,128000,0,0,0,0,0,1,0,0,40.3491288,-3.7105217
349,110,4,1,199000,0,0,1,0,0,1,0,0,40.348149,-3.7062387
350,60,3,1,110000,0,0,1,0,0,0,0,0,40.3401068,-3.6887159
352,78,3,1,108300,0,0,1,0,0,1,0,0,40.3448599,-3.7081353
353,106,3,2,249500,0,0,1,0,1,1,0,1,40.3507213,-3.6791018
354,65,3,1,124000,1,0,1,0,0,1,0,0,40.3525553,-3.6811527
355,70,2,1,202000,0,0,1,0,0,1,0,0,40.3516003,-3.6926224
356,90,3,2,179000,0,0,1,0,0,0,1,1,40.6369397,-3.4097639
357,78,2,1,107900,0,0,1,0,0,1,0,0,40.3479925,-3.6862599
359,100,3,1,184000,0,0,1,0,0,1,0,0,40.4005261,-3.4056522
360,125,4,2,175000,0,0,1,0,0,1,0,0,40.3504996,-3.6985953
361,50,2,1,99000,0,0,1,0,0,0,0,0,40.3515611,-3.6802098
362,70,3,1,99000,0,0,1,0,0,1,0,0,40.3259672,-3.7716739
363,60,2,1,68260,0,0,1,0,0,0,0,0,40.3401068,-3.6887159
364,98,2,2,257000,0,0,1,0,1,1,1,1,40.3577222,-3.6850285
365,104,3,2,155000,1,0,1,0,0,0,1,0,40.3520865,-3.6799344
366,125,3,2,210000,0,0,1,0,0,0,0,1,40.3598385,-3.6913126
367,114,3,2,175000,0,0,1,0,0,0,0,1,40.361483,-3.6876713
368,90,4,1,165000,0,0,1,0,0,0,0,0,40.3545782,-3.695308
369,124,3,2,245000,0,0,1,0,0,1,0,1,40.3550555,-3.6836312
370,75,3,1,136000,0,0,1,0,0,1,0,0,40.3512213,-3.6866576
371,70,3,1,109000,0,0,1,0,0,1,0,0,40.3488008,-3.7082284
372,108,3,2,195000,0,0,1,0,0,0,0,1,40.3581942,-3.6911269
373,63,1,1,106900,0,0,1,0,0,0,0,0,40.3458817,-3.7075348
374,75,3,1,140000,0,0,1,0,0,0,0,0,40.3593397,-3.6983745
375,47,1,1,139000,0,0,1,0,1,0,0,1,40.6125045,-3.721482030114904
376,67,1,1,104000,1,0,1,0,0,0,0,0,40.4256897,-3.7038065
377,80,4,1,165000,0,0,1,0,0,0,1,0,40.3471694,-3.7087077
